user,cqid,modelled_or_not,difficulty
Javad,1,No,3
trial,1,No,3
trial,6,No,3
trial,7,No,3
trial,8,No,3
trial,9,No,3
trial,10,No,3
trial,2,No,3
trial,3,No,3
trial,4,No,3
trial,5,No,3
Javad,1,No,3
Javad,3,No,3
Javad,6,Yes,3
Javad,11,I don't know,3
Javad,12,Yes,2
Javad,13,No,3
Javad,15,Yes,3
Javad,16,I don't know,3
Javad,17,No,4
Javad,19,I don't know,4
Javad,2,Yes,3
Javad,4,No,3
Javad,5,No,3
Javad,7,No,3
Javad,8,No,3
Javad,9,No,3
Javad,10,No,3
Javad,14,No,3
Javad,18,No,3
Javad,20,No,3
Riley,1,Yes,3
Riley,3,Yes,2
Riley,6,I don't know,5
Riley,11,Yes,2
Riley,12,Yes,1
Riley,13,I don't know,5
Riley,15,I don't know,5
Riley,16,I don't know,5
Riley,17,I don't know,5
Riley,19,I don't know,5
Riley,2,No,3
Riley,4,Yes,3
Riley,5,Yes,4
Riley,7,I don't know,5
Riley,8,Yes,1
Riley,9,Yes,2
Riley,10,Yes,1
Riley,14,I don't know,5
Riley,18,I don't know,5
Riley,20,I don't know,5
